park_name,park_id,site_area,closure_notes,weekend_status,last_updated
Adanac Park,65,SW,,User discretion,"May 05, 2017"
Adanac Park,65,Summer,Summer East West Configuration 1 Field,User discretion,"May 05, 2017"
Adanac Park,65,SE,,User discretion,"May 05, 2017"
Adanac Park,65,NW,Summer field,User discretion,"May 05, 2017"
Andy Livingstone Park,10,ATE,Artificial Turf Field East,User discretion,"May 05, 2017"
Andy Livingstone Park,10,ATW,Artificial Turf Field West,User discretion,"May 05, 2017"
Arbutus Park,90,Practice Field,,User discretion,"May 05, 2017"
Balaclava Park,34,Oval,,User discretion,"May 05, 2017"
Balaclava Park,34,W,,User discretion,"May 05, 2017"
Beaconsfield Park,148,SW,,User discretion,"May 05, 2017"
Beaconsfield Park,148,AWF,,User discretion,"May 05, 2017"
Beaconsfield Park,148,SE,,User discretion,"May 05, 2017"
Bobolink Park,191,SW,Closed until April 2017 due to chafer damage repai,User discretion,"May 05, 2017"
Bobolink Park,191,SE,,User discretion,"May 05, 2017"
Bobolink Park,191,NW,,User discretion,"May 05, 2017"
Braemar Park,174,C,,User discretion,"May 05, 2017"
Brewers Park,79,C,,User discretion,"May 05, 2017"
Brockton,206,Upper,Cricket Only,Closed,"May 05, 2017"
Brockton,206,SW,,Closed,"May 05, 2017"
Brockton,206,Lower,Cricket Only,Closed,"May 05, 2017"
Brockton Oval,206,Oval,,Closed,"May 05, 2017"
Carnarvon Park,2,SE,field renovations,Closed,"May 05, 2017"
Carnarvon Park,2,NE,field renovations,Closed,"May 05, 2017"
Chaldecott Park,37,SW,,User discretion,"May 05, 2017"
Chaldecott Park,37,NW,,User discretion,"May 05, 2017"
Champlain Heights Park,100,C,,User discretion,"May 05, 2017"
Charleson Park,43,C,,Closed,"May 05, 2017"
China Creek North Park,133,C,,User discretion,"May 05, 2017"
Clark Park,81,C,,User discretion,"May 05, 2017"
Clinton Park,70,NW,,User discretion,"May 05, 2017"
Clinton Park,70,AWF,,User discretion,"May 05, 2017"
Clinton Park,70,SW,,User discretion,"May 05, 2017"
Collingwood Park,151,C,,User discretion,"May 05, 2017"
Columbia Park,143,N,,User discretion,"May 05, 2017"
Columbia Park,143,S,,User discretion,"May 05, 2017"
Connaught Park,108,E,,User discretion,"May 05, 2017"
Connaught Park,108,C,,User discretion,"May 05, 2017"
Connaught Park,108,SE,,User discretion,"May 05, 2017"
Connaught Park,108,NW,,User discretion,"May 05, 2017"
Connaught Park,108,W,field renovations,Closed,"May 05, 2017"
David Lam Park,16,C,,Closed,"May 05, 2017"
Douglas Park,175,SE,,User discretion,"May 05, 2017"
Douglas Park,175,NW,,User discretion,"May 05, 2017"
Douglas Park,175,NE,,User discretion,"May 05, 2017"
Douglas Park,175,SW,,User discretion,"May 05, 2017"
Earles Park,152,C,,User discretion,"May 05, 2017"
Elm Park,91,C,,User discretion,"May 05, 2017"
Eric Hamber,228,AT,Artificial Turf Field ,User discretion,"May 05, 2017"
Falaise - mid,153,SE,,User discretion,"May 05, 2017"
Falaise Park,153,N,,User discretion,"May 05, 2017"
Fraser River Park,92,C,,User discretion,"May 05, 2017"
Fraserview Park,192,C,,User discretion,"May 05, 2017"
Garden Park,51,C,"Renovation, until late spring 2017",User discretion,"May 05, 2017"
Gaston Park,155,S,,User discretion,"May 05, 2017"
General Brock Park,82,N,,User discretion,"May 05, 2017"
George Park,184,C,,User discretion,"May 05, 2017"
Gordon Park,194,SW,,User discretion,"May 05, 2017"
Gordon Park,194,NE,,User discretion,"May 05, 2017"
Gordon Park,194,NW,,User discretion,"May 05, 2017"
Gordon Park,194,SE,,User discretion,"May 05, 2017"
Granville Park,44,C,,Closed,"May 05, 2017"
Hastings Bowl,72,N,Artificial Turf field,User discretion,"May 05, 2017"
Hastings Bowl,72,S,Artificial Turf field,User discretion,"May 05, 2017"
Hastings Community,73,E,Ball Diamond,User discretion,"May 05, 2017"
Hillcrest Park,164,AT,,User discretion,"May 05, 2017"
Hillcrest Park,164,Midlothian,    ,User discretion,"May 05, 2017"
Hillcrest Park,164,Peveril,,User discretion,"May 05, 2017"
Hillcrest Park,164,Dimmont,     ,User discretion,"May 05, 2017"
Hillcrest Park,164,Centre,,User discretion,"May 05, 2017"
Jericho Beach Park,218,AWF,,User discretion,"May 05, 2017"
Jericho Beach Park,218,E,closed for renovations,Closed,"May 05, 2017"
Jericho Beach Park,218,Hostel,,User discretion,"May 05, 2017"
Jericho Beach Park,218,N,,User discretion,"May 05, 2017"
Jericho Beach Park,218,W,Artificial Turf Field ,User discretion,"May 05, 2017"
John Hendry (Trout Lake) Park,85,AWF,,User discretion,"May 05, 2017"
John Hendry (Trout Lake) Park,85,NE,,User discretion,"May 05, 2017"
John Hendry (Trout Lake) Park,85,SE,,User discretion,"May 05, 2017"
John Hendry (Trout Lake) Park,85,NW,,User discretion,"May 05, 2017"
Jonathan Rogers Park,137,C,,User discretion,"May 05, 2017"
Jones Park,86,C,Saturated - Summer only Field,User discretion,"May 05, 2017"
Kensington Park,87,NW,,User discretion,"May 05, 2017"
Kensington Park,87,SE,   ,User discretion,"May 05, 2017"
Kerrisdale Park,171,C,,User discretion,"May 05, 2017"
Killarney Park,103,C,,User discretion,"May 05, 2017"
Killarney Park,103,AWF,,User discretion,"May 05, 2017"
Killarney Park,103,EC,,User discretion,"May 05, 2017"
Killarney Park,103,NW,,User discretion,"May 05, 2017"
Killarney Park,103,Oval,For Repairs until September 2017,Closed,"May 05, 2017"
Killarney Park,103,SW,,User discretion,"May 05, 2017"
Kingcrest Park,88,C,,User discretion,"May 05, 2017"
MacLean Park,179,C,,User discretion,"May 05, 2017"
Maple Grove Park,96,W,,User discretion,"May 05, 2017"
McBride Park,114,C,,User discretion,"May 05, 2017"
McSpadden Park,54,C,,User discretion,"May 05, 2017"
Memorial South Park,186,SW,Artificial Turf Field,User discretion,"May 05, 2017"
Memorial South Park,186,NE,,User discretion,"May 05, 2017"
Memorial South Park,186,Oval,,User discretion,"May 05, 2017"
Memorial South Park,186,NW,,User discretion,"May 05, 2017"
Memorial South Park,186,SE,,User discretion,"May 05, 2017"
Memorial West Park,39,C,,User discretion,"May 05, 2017"
Moberly Park,187,S,,User discretion,"May 05, 2017"
Moberly Park,187,N,,User discretion,"May 05, 2017"
Montgomery Park,146,E,,User discretion,"May 05, 2017"
Montgomery Park,146,W,,User discretion,"May 05, 2017"
Musqueam Park,40,E,,User discretion,"May 05, 2017"
Musqueam Park,40,W,,User discretion,"May 05, 2017"
Nanaimo Park,196,W,,User discretion,"May 05, 2017"
Nanaimo Park,196,E,,User discretion,"May 05, 2017"
New Brighton Park,75,N,Summer Field,User discretion,"May 05, 2017"
Norquay Park,157,S,,User discretion,"May 05, 2017"
Oak Meadows Park,228,C,,User discretion,"May 05, 2017"
Oak Park,126,AWF,,User discretion,"May 05, 2017"
Oak Park,126,W,,User discretion,"May 05, 2017"
Oak Park,126,E,,User discretion,"May 05, 2017"
Point Grey,221,AT,Artificial Turf Field,User discretion,"May 05, 2017"
Prince Edward Park,166,C,Summer Field,User discretion,"May 05, 2017"
Prince of Wales Park,3,C,,User discretion,"May 05, 2017"
Quilchena Park,6,SE,,User discretion,"May 05, 2017"
Quilchena Park,6,NW,,User discretion,"May 05, 2017"
Renfrew Community Park,159,C,,User discretion,"May 05, 2017"
Riley Park,168,C,,User discretion,"May 05, 2017"
Riverfront Park,197,C,,User discretion,"May 05, 2017"
Robson Park,140,C,Summer Field,User discretion,"May 05, 2017"
Ross Park,188,C,,User discretion,"May 05, 2017"
Rupert Park,76,C,,User discretion,"May 05, 2017"
Rupert Park,76,S,,User discretion,"May 05, 2017"
Shannon Park,128,C,,User discretion,"May 05, 2017"
Slocan Park,161,C,Closed for Repair/Renovation,Closed,"May 05, 2017"
Slocan Park,161,SW,,User discretion,"May 05, 2017"
Sparwood Park,105,C,,Closed,"May 05, 2017"
Strathcona Park,181,EC,,User discretion,"May 05, 2017"
Strathcona Park,181,Oval,Summer Field,User discretion,"May 05, 2017"
Strathcona Park,181,W,,User discretion,"May 05, 2017"
Strathcona Park,181,AWF,,User discretion,"May 05, 2017"
Sunrise Park,77,C, ,User discretion,"May 05, 2017"
Sunset Henderson,189,C,,User discretion,"May 05, 2017"
Templeton Park,60,S,,User discretion,"May 05, 2017"
Templeton Park,60,N,,User discretion,"May 05, 2017"
Tisdall Park,147,C,,User discretion,"May 05, 2017"
Tisdall Park,147,N,,User discretion,"May 05, 2017"
Tisdall Park,147,S,,User discretion,"May 05, 2017"
Trafalgar Park,8,S,,User discretion,"May 05, 2017"
Trafalgar Park,8,NW,,User discretion,"May 05, 2017"
Trafalgar Park,8,E,,User discretion,"May 05, 2017"
Trillium Park,245,East,Artificial Turf Field ,User discretion,"May 05, 2017"
Trillium Park,245,West,Artificial Turf Field ,User discretion,"May 05, 2017"
Van Tech,85,AT,Artificial Turf Field,User discretion,"May 05, 2017"
West Point Grey Park,221,N,,User discretion,"May 05, 2017"
West Point Grey Park,221,S,,User discretion,"May 05, 2017"
Winona Park,131,N,,User discretion,"May 05, 2017"
Winona Park,131,C,,User discretion,"May 05, 2017"
Winona Park,131,S,,User discretion,"May 05, 2017"
Woodland Park,64,N,,User discretion,"May 05, 2017"
Woodland Park,64,S,,User discretion,"May 05, 2017"
