CANDIDATE,Sunset,Killarney,Renfrew-Collingwood,Kensington-Cedar Cottage,West End,Downtown,Kitsilano,Victoria-Fraserview,Oakridge,Kerrisdale,Mount Pleasant,Marpole,Dunbar-Southlands,Shaughnessy,Hastings-Sunrise,Arbutus-Ridge,Strathcona,Fairview,Grandview-Woodland,Riley Park,South Cambie,West Point Grey
"AUBICHON, Meynard ",26,32,50,45,18,21,22,15,7,11,21,13,3,1,35,4,16,8,26,12,5,2
"HANSEN, Mike ",38,36,53,52,33,34,23,24,13,16,40,21,12,1,38,6,18,18,17,14,4,12
"HILL, Jeff ",23,34,37,34,40,44,34,21,8,13,17,24,6,2,27,1,13,24,27,14,2,6
"KAISER, Cherryse Kaur ",50,26,41,30,19,26,18,12,6,5,16,10,5,1,25,5,10,16,22,12,4,2
"KASTING, Bob ",43,67,89,98,68,69,88,32,34,46,68,52,30,17,80,23,16,69,56,33,17,32
"LAPOINTE, Kirk ",2989,3097,3836,3272,3367,3546,4319,2473,2189,3178,2316,2285,3212,1315,2851,1673,339,2758,1364,1661,1128,1869
"LY, Tim ",20,33,60,53,18,30,6,24,15,13,13,9,4,4,46,4,10,8,18,7,5,2
"ROBERTSON, Gregor ",3077,2627,4110,5629,5686,4841,6018,1450,1222,1374,6309,1273,1722,466,3763,951,1175,4704,5300,2749,1166,1518
"SHANDLER, Colin ",20,19,31,51,29,22,14,13,7,4,14,13,7,2,36,6,5,17,19,15,7,3
"WONG, Meena ",535,591,964,1244,873,980,850,388,328,291,1301,436,287,81,946,175,371,676,1336,520,166,233
